Date,Name,Year,Letterboxd URI,Rating
2021-02-06,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4.5
2021-02-06,Knock Down the House,2019,https://boxd.it/kIss,4
2021-02-06,Sorry to Bother You,2018,https://boxd.it/f21E,4
2021-02-06,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2021-02-06,Bambi,1942,https://boxd.it/25AQ,3.5
2021-02-06,Peter Pan,1953,https://boxd.it/1VCC,3.5
2021-02-06,Over the Hedge,2006,https://boxd.it/20QY,3.5
2021-02-06,X-Men: First Class,2011,https://boxd.it/FOA,4
2021-02-06,The Imitation Game,2014,https://boxd.it/6aig,3.5
2021-02-06,The World's End,2013,https://boxd.it/3EiO,3
2021-02-06,Burn After Reading,2008,https://boxd.it/23BW,4
2021-02-06,Men in Black 3,2012,https://boxd.it/103U,3
2021-02-06,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,3
2021-02-06,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,3
2021-02-21,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa,2
2021-02-21,Hotel for Dogs,2009,https://boxd.it/1MEa,1.5
2021-02-23,Cold War,2018,https://boxd.it/fEoc,4.5
2021-02-26,17 Again,2009,https://boxd.it/1Jnq,1
2021-02-28,Legend of the Guardians: The Owls of Ga'Hoole,2010,https://boxd.it/ZUy,2.5
2021-03-02,Midsommar,2019,https://boxd.it/jhxe,3.5
2021-03-02,(500) Days of Summer,2009,https://boxd.it/1EmM,4.5
2021-03-05,Billie Eilish: The World's a Little Blurry,2021,https://boxd.it/olni,4.5
2021-03-06,WandaVision,2021,https://boxd.it/sbGW,4.5
2021-03-09,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,2
2021-03-10,BPM (Beats per Minute),2017,https://boxd.it/g796,4
2021-03-12,Man of Steel,2013,https://boxd.it/FRk,2
2021-03-14,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,2.5
2021-03-14,Suicide Squad,2016,https://boxd.it/9row,1
2021-03-15,Ingrid Goes West,2017,https://boxd.it/evUQ,3.5
2021-03-16,Faces Places,2017,https://boxd.it/g7ck,2
2021-03-16,Wonder Woman,2017,https://boxd.it/9roG,3
2021-03-16,Justice League,2017,https://boxd.it/4w68,1.5
2021-03-17,Aquaman,2018,https://boxd.it/9ru0,2.5
2021-03-20,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,4
2021-03-24,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,3.5
2021-03-30,Blade Runner,1982,https://boxd.it/2bcA,3
2021-03-30,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2021-04-03,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4.5
2021-04-03,Soul,2020,https://boxd.it/ioLA,4.5
2021-04-03,Snowpiercer,2013,https://boxd.it/3Icg,4.5
2021-04-03,Kajillionaire,2020,https://boxd.it/jJDY,4.5
2021-04-04,The Lego Movie 2: The Second Part,2019,https://boxd.it/8BAU,3.5
