Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-01-14,Ant-Man and the Wasp,2018,https://boxd.it/1Asgkz,3,Yes,"You know the writing is questionable when the best jokes are about how bad the writing is.

Michael Peña and the score are still incredible love it",,2021-01-14
2021-01-15,Avengers: Infinity War,2018,https://boxd.it/1ABxm1,4.5,Yes,"Okoye is so underrated, her looks and glances are brilliant",,2021-01-14
2021-01-15,Avengers: Endgame,2019,https://boxd.it/1ACWxv,5,Yes,"This is the best tv season finale of all time, the MCU works like a tv show and watching all the episodes makes this a masterpiece, every single storyline built up getting a satisfying conclusion it’s insane how it worked so perfect, the Russo Brothers need more credit",,2021-01-15
2021-01-16,Spider-Man: Far From Home,2019,https://boxd.it/1AIsPV,4,Yes,"MCU rewatch is done Wandavision here we go
<a href=""https://letterboxd.com/jack_ramage/list/mcu-in-review/"" rel=""nofollow"">MCU in Review</a>",,2021-01-15
2021-01-17,Wonder Woman 1984,2020,https://boxd.it/1AVubz,1.5,,"What a mess. Disappointed is putting it lightly, this movie is horrendous. The central message was so confused the entire time and ends on something that is non-sensical. The entire plot is all over the place and weirdly in its attempts to stand up against sexism, is sexist itself. We see Wonder Woman in action for maybe 10% of the movie and Steve ends up saving her? Also love that we need to remind Diana that she will find another man that she can rely on and love cause that’s her purpose. The idea of a nerdy good guy wanting to be attractive and turn evil is also so played out and not great character development.

<b>But,</b> the biggest sin of all? <b>Why the fuck</b> would you not use 80s music in an 80s film, the music is misplaced and tonally appalling, I liked the action music enough but Hans Zimmer missed the idea of the score here, the pieces didn’t fit. And who the hell puts classical music over an 80s montage, where’s the Blue Monday?

I left this movie upset with DC cause they had the idea of something that could’ve been great. Gal Gadot was still amazing though and Kristen Wigg, for what she was given, was entertaining",,2021-01-16
2021-01-19,Paterson,2016,https://boxd.it/1BdV9L,3.5,,Where did all the twins come from??,,2021-01-18
2021-01-20,Meshes of the Afternoon,1943,https://boxd.it/1BmpEb,4,,Hard to understand how this was made in the 1940s,,2021-01-19
2021-01-20,Only Lovers Left Alive,2013,https://boxd.it/1BqkJt,4.5,,"The dichotomy between the two, the light and love for life savouring every little thing vs the repetition and depression experienced with their long lives was so fascinating to me and how they complimented and bounced off each other was amazing. Also the copious amounts of imagery and symbolism made me smile",,2021-01-20
2021-01-21,Under the Silver Lake,2018,https://boxd.it/1ByRk3,4,,"Pervert Peter Parker solves a mystery

Funny Spiderman reference in this movie, but holy shit I think this is the weirdest movie I’ve seen",,2021-01-21
2021-01-26,The Florida Project,2017,https://boxd.it/1Cfa77,5,,"Wow what a stunning film, a heartbreakingly sweet story that manages to toe the line between childlike wonder and the harsh realities of the adults in the film. Framing the film from the perspective of a child gave scenes such an innocent beauty while also letting there be a stress and sadness to it as well, this was only amplified by the incredible performances, especially from Brooklynn Prince who delivers such a sweet and natural delivery. The cinematography and colouring in the film too adding to themes of innocence and a childlike perception of a bleak situation was so refreshing and always engaging to watch",,2021-01-25
2021-01-26,Donnie Darko,2001,https://boxd.it/1ChLrd,3.5,,"Strange premise and had the makings of a good movie, overall a fun watch with some good performances but wasn’t in love with the editing and the way it was executed. Also Seth Rogen as a bully is laughable",,2021-01-26
2021-01-28,Call Me by Your Name,2017,https://boxd.it/1CxNPX,4.5,,"Elio’s mother recites a German tale in the film and in it the question “Is it better to speak or die” is proposed and really it is this question that is the centre of the film and one that the film perfectly explores the difficulty of answering said question. The fear over not telling someone your love for them and the regret that would occur with it, always wondering what if? Vs the pain and sadness felt after experiencing some of that love but knowing that you’ll never feel that love again, it will always be there but never tangible, always out of reach. Michael Stuhlbarg’s monologue at the end was utterly beautiful and having read the book I thought the film had a far better ending. I just wish there was a little more time spent developing Oliver and Elio’s relationship, other than that this film was bellissimo. And damn Italy is beautiful",,2021-01-28
2021-02-03,If Beale Street Could Talk,2018,https://boxd.it/1DmhtR,4.5,,"An incredibly well made heartbreaking tale of love in an America, that while it was 50 years ago, is not much different from the current day. The directing and cinematography are beautiful and so intimate, you truly feel the atmosphere and being part of the family. Some of the dialogue in places is quite clunky, however the acting far overshadows this. The thing that truly elevates this movie though is the score, hands down one of the most beautiful scores I’ve heard over the last few years it’s got such a sweetness and love to it while also conveying a deep sadness, Nicholas Britell’s score truly made some scenes for me, it’s just pure and raw emotions played through sound",,2021-02-02
2021-02-09,Scott Pilgrim vs. the World,2010,https://boxd.it/1Eg913,5,Yes,"Screenwriting was invented with the line 
“You once were a vegone.
Now you will be gone”",,2021-02-06
2021-02-09,Malcolm & Marie,2021,https://boxd.it/1Eggsl,3,,"This movie is not without its faults but I think it captures the idea of an argument perfectly. The ebbs and flows, the sudden reconciliation only to be thrust back into argument, the lack of direction and tangents to then stumbling on the real point that you want to cause some damage. The pacing while a little repetitive was so natural, the breaths each of them take between arguments to help themselves take a moment and also to let feelings stew and arguments build up in them. The damage and hurt that can be caused in the heat of the moment, things that you never wanted to say or mean but deep down it was always there, brewing. I thought it all added to a simply perfect exploration of an argument and one so indicative of love and the pain it can cause.

JDW kills it, the raw anger he displays at points and his ability to hold an argument with himself for a prolonged period of time is simply masterful. But Zendaya, damn. I think Euphoria is a perfect show and was excited to hear Sam Levinson and Zendaya were working on a film together and it didn’t disappoint, Zendaya gives a nuanced and raw performance, at points even when she isn’t arguing there’s subtle things she does that let’s you know that her anger and hurt aren’t finished with. Levinson and Zendaya work so well together he clearly knows the best ways to direct her and after listening to her talk on the film it truly seems like a collaborative effort between the two with Zendaya having influence and say on the script and story too.


I still love Levinson’s directing and there was some beautiful long takes in the film, anytime Zendaya took a cigarette break outside I was grateful for the break and the beautiful shot. The in-world music in the film, while on the nose, was beautifully chosen and the lack of score over the arguments really added to the tension between the two. The smart quips and jabs they make at each other were fantastic and intricate monologues were written beautifully but the performances truly elevated them. I mean come on Zendaya giving a monologue on the state of art and the political nature of the Lego Movie *chef’s kiss*",,2021-02-08
2021-02-16,The Lego Movie,2014,https://boxd.it/1Fcaf7,5,Yes,Should’ve been a corporate cash grab but god bless Chris Miller and Phil Lord,,2021-02-15
2021-02-23,Cold War,2018,https://boxd.it/1Gg2OP,4.5,,"Sound design was absolutely beautiful in the film along with the cinematography, possibly one of my favourite shots I’ve seen in a film using a mirror to show a huge crowd and the main couple on the edge having an intimate conversation, absolutely beautiful. What this film does masterfully is that while on the surface it is a story of love, it’s subtly showing the degradation of authenticity within music. Starting with the natural opening where we see town folk signing songs in the country to the audition song, which slowly become less and less authentic by changing genres then language until at the end the singer is a husk of her natural self",,2021-02-22
2021-02-26,High School Musical,2006,https://boxd.it/1GFibz,1.5,,"Ok had to watch this so made a drinking game out of it with friends, here's some of my thoughts:
- Chad has the most traject storyline, he's so engrained in toxic masculinety that he can't do what he loves and mocks Troy for it. Why?? Cause he's in love with Troy, the obvious looks, the constant mockery of his singing and of other people's passions, it's all cause of his represed sexuality
- I swear to god that drama teacher says <i>Musicale</i> about a million times
- Kelsey tripping over literally nothing and landing just sitting is absurdly funny
- I'm sorry but why tf does a teacher have his office in the locker room with the mirrors facing the guys
- Vanessa <i>Anne</i> Hudgens is horrific, the lines were delivered like she didn't know how to talk
- The hacking in this movie is laughable, like...that's just not how things work
- A weirdly good transition between the song and the game??
- Chad cockblocks Troy at the end further supporting the love he has for him
- Kelsi has the best (and only good) character arc in the whole film, going from scared girl to standing up to Sharpay was vindication that was great
- Speaking of Sharpay why the hell was she at the front of the dance at the end, her and Ryan were great though
This was bad but good bad that's fun to watch with people, now onto 2",,2021-02-26
2021-03-02,(500) Days of Summer,2009,https://boxd.it/1HcsTR,4.5,Yes,"Still in love with this film, it’s style, the comedy and its raw critic of modern love and pop culture. Despite her name being in the title, Summer is really an ancillary character to drive Tom’s journey throughout the film. While some may critic this, I believe it’s gives the opportunity for us to get a movie which is solely a intimate and complex character study, how Tom’s obsession with pop culture has influenced the ideas he’s instilled in himself about love. It’s these ideas juxtaposed with Summer’s beliefs about love that give such an interesting dynamic to the doomed couple.

I noticed this time watching it that in the early stages of there relationship most of the conversations revolve around pop culture; music, movies and celebrities. As times goes on the conversations become more imitate and personal highlighting the incompatibility of the two and ultimately leading to there breakup.

The style in this movie is perfection, nothing is used for the sake of it, everything making this movie hyper stylised is to serve a purpose. The expectations vs reality being such a perfect microcosm for the film.

The ending being sort of open ended I also love, it’s down to the viewer to believe if Tom really learned from Summer of his doomed to repeat the heartbreak again.",,2021-03-01
